student_in_batch,expected_mark,model_mark,potential_marks,strict_match,relaxed_match
1,2,3,0;1;2,False,False
2,3,2,3,False,False
3,3,0,3,False,False
4,3,2,3,False,False
5,2,3,2,False,False
6,0,3,0,False,False
7,3,3,3,True,True
8,0,3,0,False,False
9,3,0,1;2;3,False,False
10,3,3,1;2;3,True,True
11,3,1,3,False,False
12,3,3,2;3,True,True
13,0,3,0;1,False,False
14,3,3,2;3,True,True
15,0,3,0,False,False
16,3,1,2;3,False,False
17,2,3,1;2,False,False
18,2,1,2,False,False
19,2,3,0;1;2,False,False
20,2,2,1;2;3,True,True
21,3,3,2;3,True,True
22,0,0,0,True,True
23,0,3,0,False,False
24,0,3,0;1,False,False
25,0,0,0,True,True
26,0,0,0,True,True
